target,name_ja,rsi,ma25_dev,ma75_dev,ma200_dev,close,tech_outlook,tech_note
xrp,XRP,42.074265030412455,-3.115206942367485,-15.493224243827408,-27.33177837217181,1.0823999643325806,押し目候補,"RSI=42, 200MA-27.3%"
qnt_token,Quant Network (QNT トークン),47.30326678508469,-1.0356746563193697,-5.34853672203674,-5.937463901122808,67.31999969482422,中立,"RSI=47, 200MA-5.9%"
fujikura,フジクラ,49.108410678181414,4.560293579125338,2.325482915788021,37.75769237750968,5368.0,過熱警戒,"RSI=49, 200MA+37.8%"
murata,村田製作所,55.33429651560751,3.899950319104222,60.15106034004617,140.89573184096292,10875.0,過熱警戒,"RSI=55, 200MA+140.9%"
lasertec_rorze,ローツェ,55.22864921588569,6.906024578606977,25.277817751554977,58.331520764734336,4701.0,過熱警戒,"RSI=55, 200MA+58.3%"
kioxia,キオクシア,45.67487786824649,-11.063736489291731,46.215200552189586,182.10466504787567,76260.0,過熱警戒,"RSI=46, 200MA+182.1%"
harmonic,ハーモニック・ドライブ・システムズ,58.89947449272161,9.924283396430504,39.75828183525192,90.22106404816876,8130.0,過熱警戒,"RSI=59, 200MA+90.2%"
fanuc,ファナック,46.98027798438385,-2.7130757728703214,4.564581603411232,19.97464067939129,7209.0,過熱警戒,"RSI=47, 200MA+20.0%"
yaskawa,安川電機,51.33684148939406,0.84253341080767,17.301557261814644,40.18538667275656,6942.0,過熱警戒,"RSI=51, 200MA+40.2%"
tesla,Tesla,46.76798324816261,-2.8456115316527546,-0.4033617357361131,-6.009859559222044,393.45001220703125,中立,"RSI=47, 200MA-6.0%"
