theme,name_ja,as_of,structural_change,supply_demand,earnings,valuation,fund_flow,policy_tailwind,total,confidence_pct,data_coverage_pct,change_1d,change_1w,change_1m,note
crypto_xrp,暗号資産 / XRP・XRPL,2026-08-27,,66.8,,,42.0,,59.7,0.35,0.167,,,,
ai_datacenter,AIデータセンター / 光通信,2026-08-27,,92.5,91.0,,74.5,60.0,86.3,0.6,0.333,,,,
semicap,半導体装置 / HBM / CoWoS / WFE,2026-08-27,,92.1,100.0,,23.4,,82.5,0.55,0.333,,,,
robotics_fa,ロボティクス / FA / 減速機 / サーボ,2026-08-27,,93.1,,,44.6,,79.2,0.35,0.167,,,,
ev_physical_ai,EV / Physical AI / Tesla / Optimus,2026-08-27,,,,,0.6,,0.6,0.1,0.167,,,,
quantum,量子コンピュータ,2026-08-27,,81.2,,,,,81.2,0.25,0.0,,,,
china_ai,中国AI・Physical AI,2026-08-27,,,,,,,,0.0,0.0,,,,china_ai: 利用可能データなし
policy,政策・補助金・輸出規制・IPO,2026-08-27,,,,,,,,0.0,0.0,,,,policy: 利用可能データなし
power,電力(Utility CAPEX / Grid / Nuclear / SMR),2026-08-27,,,,,,,,0.0,0.0,,,,power: 利用可能データなし
bio,バイオ,2026-08-27,,,,,,,,0.0,0.0,,,,bio: 利用可能データなし
